machine_speed,stock_flow,filler_flow,steam_pressure,moisture,ash,caliper,predicted_basis_weight,predicted_deviation_pct,off_spec,change_penalty
802.396,62.045,16.943,4.5,5.949,7.588,92.544,91.97265,8.027351379394531,1,8.999999999999998
802.396,62.045,16.943,4.6,5.949,7.588,92.544,91.95434,8.045661926269531,1,8.000000000000002
802.396,62.045,16.943,4.7,5.949,7.588,92.544,91.41324,8.586761474609375,1,6.9999999999999964
802.396,62.045,16.943,4.8,5.949,7.588,92.544,91.18765,8.812347412109375,1,6.0
802.396,62.045,16.943,4.9,5.949,7.588,92.544,91.37303,8.626968383789062,1,7.000000000000005
802.396,62.045,16.943,5.0,5.949,7.588,92.544,91.34526,8.654739379882812,1,8.000000000000002
802.396,62.045,16.943,5.1,5.949,7.588,92.544,91.49758,8.502418518066406,1,8.999999999999998
802.396,64.045,16.943,4.5,5.949,7.588,92.544,91.95817,8.041831970214844,1,7.999999999999998
802.396,64.045,16.943,4.6,5.949,7.588,92.544,91.93986,8.060142517089844,1,7.000000000000002
802.396,64.045,16.943,4.7,5.949,7.588,92.544,91.39876,8.601242065429688,1,5.9999999999999964
802.396,64.045,16.943,4.8,5.949,7.588,92.544,91.17317,8.826828002929688,1,5.0
802.396,64.045,16.943,4.9,5.949,7.588,92.544,91.35999,8.640007019042969,1,6.000000000000005
802.396,64.045,16.943,5.0,5.949,7.588,92.544,91.33222,8.667778015136719,1,7.000000000000002
802.396,64.045,16.943,5.1,5.949,7.588,92.544,91.48454,8.515457153320312,1,7.999999999999998
802.396,66.045,16.943,4.5,5.949,7.588,92.544,91.87025,8.129753112792969,1,6.999999999999998
802.396,66.045,16.943,4.6,5.949,7.588,92.544,91.85192,8.148078918457031,1,6.000000000000002
802.396,66.045,16.943,4.7,5.949,7.588,92.544,91.331505,8.668495178222656,1,4.9999999999999964
802.396,66.045,16.943,4.8,5.949,7.588,92.544,91.13651,8.863487243652344,1,4.0
802.396,66.045,16.943,4.9,5.949,7.588,92.544,91.31801,8.681991577148438,1,5.000000000000005
802.396,66.045,16.943,5.0,5.949,7.588,92.544,91.29409,8.705909729003906,1,6.000000000000002
802.396,66.045,16.943,5.1,5.949,7.588,92.544,91.4464,8.553596496582031,1,6.999999999999998
802.396,68.045,16.943,4.5,5.949,7.588,92.544,91.48627,8.51373291015625,1,5.999999999999998
