machine_speed,stock_flow,steam_pressure,predicted_basis_weight,predicted_deviation_pct,off_spec,change_penalty
802.396,62.045,4.5,91.97265,8.027351379394531,1,8.999999999999998
802.396,64.045,4.5,91.95817,8.041831970214844,1,7.999999999999998
802.396,62.045,4.6,91.95434,8.045661926269531,1,8.000000000000002
802.396,64.045,4.6,91.93986,8.060142517089844,1,7.000000000000002
812.396,62.045,4.5,91.9147,8.085296630859375,1,7.999999999999998
812.396,64.045,4.5,91.90022,8.099777221679688,1,6.999999999999998
812.396,62.045,4.6,91.89639,8.103607177734375,1,7.000000000000002
812.396,64.045,4.6,91.88191,8.118087768554688,1,6.000000000000002
802.396,66.045,4.5,91.87025,8.129753112792969,1,6.999999999999998
802.396,66.045,4.6,91.85192,8.148078918457031,1,6.000000000000002
